"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold_OE"
"PAX2",607.805943076224,-14.7033226966174,3.44448732353583,1.52199243209871e-35,2.4928534431331e-34,TRUE
"TLX1",28.2719688212373,-9.66564973184652,2.90538842348286,5.04798583236494e-15,3.567410814687e-14,TRUE
"LHX5-AS1",187.517908762447,-9.4435533455765,0.967890569726886,4.0053871961843e-22,3.9943512833261e-21,TRUE
"RPH3A",716.208526739255,-9.0721509579439,0.45911677138438,3.81302351362248e-86,1.96605030832283e-84,TRUE
"BHLHE22",73.6679392277183,-8.89713863960865,1.29795990342645,4.36991643575453e-18,3.62699134386659e-17,TRUE
"LBX1",551.211367482182,-8.69655576230374,0.442277709185352,5.91888999163619e-85,2.9851582064375e-83,TRUE
"LBX1-AS1",186.175755819653,-8.51176581620601,0.711069283437526,5.86229402602502e-32,8.35614559277188e-31,TRUE
"OTP",621.265937452119,-8.50627423660861,0.500820998430035,4.66229342618686e-65,1.60862195054174e-63,TRUE
"LOC401463",12.0764465588274,-8.21080704586753,2.74420865061934,6.6358051928268e-11,3.51579586838088e-10,TRUE
"WNT7B",205.290161936547,-8.09991697859954,0.592227153461782,9.2005897164612e-42,1.81640305429045e-40,TRUE
