"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold_OE"
"ALDH1A1",294.278542883781,13.2713153589487,3.15721353983206,2.73790090555651e-29,3.6047726687352e-28,TRUE
"H19",4743.23626458516,11.7719254573365,0.461853858021071,7.36485386889896e-140,8.7708282300649e-138,TRUE
"MYL9",113.468094127856,11.7225359051537,3.00272686852962,5.41275913973349e-23,5.62262920429604e-22,TRUE
"IGFBP7-AS1",98.8729613385265,11.5088200740527,2.98576980067826,2.71663109946144e-22,2.72979278524544e-21,TRUE
"HOTS",3274.92161367263,11.3926313535128,0.489078369392454,9.11421360685661e-118,8.12750091637518e-116,TRUE
"LRRC61",83.7225605095541,11.2347138230628,2.9582040109977,2.78043913857885e-21,2.68011102135911e-20,TRUE
"MUC5B",650.588348681733,11.1022189236704,0.981314858569663,8.81987815638777e-29,1.13612094130329e-27,TRUE
"TBX18",359.782658722753,11.0948902086343,1.30275627052057,1.45490199933146e-27,1.80727025610091e-26,TRUE
"S100A11",71.212892990316,10.9657006510427,2.92979688130337,2.83349412701956e-20,2.62831497942985e-19,TRUE
"XIST",2449.19665547952,10.6967438128438,0.440308264896892,1.56771215125383e-128,1.6076888111108e-126,TRUE
